folds,eta,max_depth,colsample_bytree,subsample,lambda,bestLoss,bestRound
10,0.03,7,1,0.95,0,0.432966,227
8,0.01,4,0.85,1,0,0.458504,1000
10,0.01,4,0.85,1,0,0.456313,999
8,0.012,4,0.85,1,0,0.453283,832
10,0.012,4,0.85,1,0,0.45685,833
8,0.014,4,0.85,1,0,0.462821,714
10,0.014,4,0.85,1,0,0.453576,713
8,0.016,4,0.85,1,0,0.453205,625
10,0.016,4,0.85,1,0,0.454947,625
8,0.018,4,0.85,1,0,0.45908,556
10,0.018,4,0.85,1,0,0.45586,556
8,0.02,4,0.85,1,0,0.456101,500
10,0.02,4,0.85,1,0,0.455067,500
8,0.022,4,0.85,1,0,0.454112,455
10,0.022,4,0.85,1,0,0.458498,454
8,0.024,4,0.85,1,0,0.454299,417
10,0.024,4,0.85,1,0,0.455635,417
8,0.026,4,0.85,1,0,0.455927,385
10,0.026,4,0.85,1,0,0.454326,385
8,0.028,4,0.85,1,0,0.456177,355
10,0.028,4,0.85,1,0,0.455032,357
8,0.03,4,0.85,1,0,0.457952,333
10,0.03,4,0.85,1,0,0.456087,333
8,0.01,5,0.85,1,0,0.443236,999
10,0.01,5,0.85,1,0,0.444638,999
8,0.012,5,0.85,1,0,0.441831,833
10,0.012,5,0.85,1,0,0.44362,833
8,0.014,5,0.85,1,0,0.444504,711
10,0.014,5,0.85,1,0,0.441665,714
8,0.016,5,0.85,1,0,0.443482,624
10,0.016,5,0.85,1,0,0.442119,625
8,0.018,5,0.85,1,0,0.443807,556
10,0.018,5,0.85,1,0,0.441985,556
8,0.02,5,0.85,1,0,0.439682,499
10,0.02,5,0.85,1,0,0.442848,500
8,0.022,5,0.85,1,0,0.443258,455
10,0.022,5,0.85,1,0,0.435974,455
